epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.7537,1.46824,2.4179,1.47355,0.58728,0.48737,0.48856,0.26233,1.36461,2.61899,1.42536,0.000656085,0.000656085,0.000656085
2,61.6861,1.48951,1.99672,1.48815,0.51641,0.49053,0.48227,0.23194,1.64862,2.40481,1.72139,0.00129656,0.00129656,0.00129656
3,86.8561,1.54922,1.90278,1.5354,0.53256,0.4749,0.49294,0.21516,1.70813,3.52186,1.95984,0.00191064,0.00191064,0.00191064
4,114.856,1.5553,1.76331,1.55963,0.30346,0.37684,0.23825,0.11,1.89777,2.47956,1.96003,0.0018812,0.0018812,0.0018812
5,139.819,1.48617,1.58604,1.49028,0.57281,0.64842,0.60984,0.32565,1.56605,1.63646,1.61326,0.0018416,0.0018416,0.0018416
6,167.234,1.49408,1.5305,1.4928,0.57697,0.62309,0.59122,0.3259,1.50196,1.49827,1.56293,0.001802,0.001802,0.001802
7,192.193,1.46013,1.48177,1.46552,0.57461,0.52316,0.54128,0.2953,1.42169,1.69584,1.45997,0.0017624,0.0017624,0.0017624
8,219.164,1.41048,1.42175,1.44643,0.72217,0.70046,0.74293,0.42367,1.39622,1.47061,1.46859,0.0017228,0.0017228,0.0017228
9,243.504,1.36261,1.36686,1.42312,0.64546,0.61263,0.67449,0.36844,1.45521,1.5323,1.51094,0.0016832,0.0016832,0.0016832
10,269.673,1.34812,1.31237,1.39435,0.68277,0.60421,0.62876,0.35613,1.46466,1.62025,1.53452,0.0016436,0.0016436,0.0016436
11,294.177,1.33466,1.29725,1.38165,0.78853,0.7183,0.81486,0.48817,1.30493,1.18131,1.38721,0.001604,0.001604,0.001604
12,321.3,1.30874,1.25684,1.37415,0.79883,0.67714,0.77676,0.47405,1.34229,1.29683,1.40727,0.0015644,0.0015644,0.0015644
13,345.764,1.32841,1.23257,1.37082,0.7636,0.75482,0.79671,0.49754,1.19064,1.21064,1.31089,0.0015248,0.0015248,0.0015248
14,372.53,1.29015,1.21818,1.34526,0.77374,0.66947,0.7811,0.47562,1.3777,1.22165,1.46672,0.0014852,0.0014852,0.0014852
15,396.617,1.25775,1.17747,1.34367,0.80607,0.65263,0.78074,0.49971,1.25583,1.17306,1.33758,0.0014456,0.0014456,0.0014456
16,423.663,1.25408,1.14119,1.31315,0.7844,0.73149,0.80228,0.50471,1.27994,1.11324,1.38424,0.001406,0.001406,0.001406
